w_N,seed,F_best,N_exposed,L_total,R_N,R_L,topology,n_accepted,cum_acceptance,n_worse_accepted,last_improve_gen,runtime_s,success,timed_out,init_valid
0.3,9,0.757050,1814561,792.26,70.589,4.455,"((1,2),((3,4),5))",58,0.386667,15,120,459.8,True,False,True
0.3,10,0.750191,1814065,784.17,70.598,5.431,"((1,2),(3,(4,5)))",60,0.400000,11,145,705.1,True,False,True
0.3,11,0.756229,2141332,772.47,65.293,6.842,"((1,2),(3,(4,5)))",58,0.386667,19,149,527.7,True,False,True
0.3,12,0.763266,1811890,799.78,70.633,3.548,"(((1,2),3),(4,5))",50,0.333333,21,149,503.0,True,False,True
0.3,13,0.751249,1824016,784.85,70.436,5.349,"((1,2),(3,(4,5)))",61,0.406667,15,122,538.4,True,False,True
0.3,14,0.791555,1815324,833.09,70.577,-0.469,"((1,(2,3)),(4,5))",40,0.266667,12,104,484.9,True,False,True
0.3,15,0.750903,1811562,785.15,70.638,5.312,"((1,2),(3,(4,5)))",59,0.393333,16,139,532.7,True,False,True
0.3,16,0.752698,1773855,789.45,71.249,4.794,"((1,2),(3,(4,5)))",52,0.346667,19,146,677.5,True,False,True
0.3,17,0.756847,1797824,792.99,70.861,4.367,"((1,2),((3,4),5))",47,0.313333,13,149,477.8,True,False,True
0.3,18,0.750158,1803748,784.72,70.765,5.364,"((1,2),(3,(4,5)))",51,0.340000,16,144,572.1,True,False,True
0.3,19,0.748533,1825944,781.52,70.405,5.750,"((1,2),(3,(4,5)))",49,0.326667,20,126,575.9,True,False,True
0.4,0,0.685854,1806376,786.00,70.722,5.210,"((1,2),(3,(4,5)))",49,0.326667,20,120,646.7,True,False,True
0.4,1,0.689635,1793317,792.40,70.934,4.438,"((1,2),((3,4),5))",48,0.320000,18,129,565.6,True,False,True
0.4,2,0.684891,1819257,783.52,70.513,5.509,"((1,2),(3,(4,5)))",59,0.393333,18,146,599.1,True,False,True
0.4,3,0.692114,1866748,789.24,69.744,4.819,"((1,2),(3,(4,5)))",46,0.306667,13,141,563.5,True,False,True
0.4,4,0.742864,1826797,862.96,70.391,-4.071,"(1,(2,((3,4),5)))",34,0.226667,9,145,831.8,True,False,True
0.4,5,0.706698,2110960,787.52,65.785,5.027,"((1,2),((3,4),5))",31,0.206667,7,149,789.4,True,False,True
0.4,6,0.685938,1777632,788.69,71.188,4.885,"((1,2),(3,(4,5)))",40,0.266667,8,140,603.2,True,False,True
0.4,7,0.721295,1784427,836.95,71.078,-0.934,"((1,(2,3)),(4,5))",56,0.373333,17,127,541.8,True,False,True
0.4,8,0.692031,1797797,795.31,70.861,4.087,"((1,2),((3,4),5))",46,0.306667,8,139,726.0,True,False,True
0.4,9,0.686447,1771172,789.98,71.293,4.730,"((1,2),(3,(4,5)))",52,0.346667,15,141,568.3,True,False,True
0.4,10,0.689859,1802233,791.91,70.789,4.497,"((1,2),((3,4),5))",50,0.333333,21,48,556.0,True,False,True
0.4,11,0.693516,1805981,796.63,70.729,3.928,"((1,2),((3,4),5))",50,0.333333,17,139,613.7,True,False,True
0.4,12,0.685128,1799710,785.60,70.830,5.259,"((1,2),(3,(4,5)))",66,0.440000,20,149,441.8,True,False,True
0.4,13,0.685822,1809080,785.72,70.678,5.244,"((1,2),(3,(4,5)))",60,0.400000,20,138,609.6,True,False,True
0.4,14,0.691109,1813972,792.58,70.599,4.416,"((1,2),((3,4),5))",56,0.373333,14,98,567.1,True,False,True
0.4,15,0.685102,1803359,785.23,70.771,5.302,"((1,2),(3,(4,5)))",54,0.360000,14,139,629.4,True,False,True
0.4,16,0.683918,1799950,783.90,70.826,5.463,"((1,2),(3,(4,5)))",66,0.440000,19,108,617.1,True,False,True
0.4,17,0.693236,1790889,797.59,70.973,3.812,"((1,2),((3,4),5))",43,0.286667,14,127,529.0,True,False,True
0.4,18,0.691238,1786536,795.22,71.044,4.098,"((1,2),((3,4),5))",47,0.313333,16,139,591.3,True,False,True
0.4,19,0.686530,1784732,788.88,71.073,4.863,"((1,2),(3,(4,5)))",59,0.393333,22,149,659.9,True,False,True
0.5,0,0.621631,1804108,788.45,70.759,4.915,"((1,2),(3,(4,5)))",52,0.346667,19,97,559.2,True,False,True
0.5,1,0.626922,1758341,803.37,71.501,3.115,"((1,2),(3,(4,5)))",65,0.433333,22,128,589.7,True,False,True
0.5,2,0.625767,1802297,795.55,70.788,4.058,"((1,2),(3,(4,5)))",59,0.393333,22,137,632.0,True,False,True
0.5,3,0.620864,1841474,782.15,70.153,5.674,"((1,2),(3,(4,5)))",55,0.366667,20,129,490.2,True,False,True
0.5,4,0.623876,1768797,796.91,71.331,3.894,"((1,2),((3,4),5))",41,0.273333,11,147,659.9,True,False,True
0.5,5,0.625807,1766536,800.42,71.368,3.471,"((1,2),(3,(4,5)))",23,0.153333,4,144,767.1,True,False,True
0.5,6,0.619588,1817546,783.25,70.541,5.541,"((1,2),(3,(4,5)))",42,0.280000,11,149,680.9,True,False,True
0.5,7,0.623726,1797013,792.87,70.874,4.381,"((1,2),(3,(4,5)))",54,0.360000,17,150,705.9,True,False,True
0.5,8,0.624507,1770334,797.75,71.306,3.792,"((1,2),((3,4),5))",40,0.266667,13,148,690.1,True,False,True
0.5,9,0.636695,1489958,855.65,75.851,-3.190,"((1,2),(3,(4,5)))",61,0.406667,22,133,431.3,True,False,True
0.5,10,0.622665,1776133,793.92,71.212,4.255,"((1,2),((3,4),5))",57,0.380000,21,147,424.6,True,False,True
0.5,11,0.623540,1781588,794.64,71.124,4.168,"((1,2),((3,4),5))",45,0.300000,16,143,600.8,True,False,True
